Issue Identifier,Title,Channel Name,Channel URL,Duration,Date Watched,Transcription Raw,Serendipity Score,Category,Symphony Status
YT-jGoIVjSLC9o,L’IA DÉCOUVRE DÉJÀ des MATÉRIAUX qui changent TOUT (ascenseur spatial compris),Le Journal de l'Espace,https://www.youtube.com/@lejournaldelespace,21:36,2026-06-02T22:45:21,Captured and clarified via Sovereign A3 workflow.,9,Legal,CLARIFIED_PLANE
YT-UfnVo7eGBJA,La FAILLE prédite il y a 40 ans est devenue RÉALITÉ - On Se l'Demande #199,Le Journal de l'Espace,https://www.youtube.com/@lejournaldelespace,18:45,2026-06-02T22:45:21,Captured and clarified via Sovereign A3 workflow.,9,Legal,CLARIFIED_PLANE
YT-pmQKXepA0-c,L'IA vient de basculer cette semaine (et personne n'en parle),Vision IA,https://www.youtube.com/@vision_ia,13:06,2026-06-02T22:45:21,Captured and clarified via Sovereign A3 workflow.,9,Legal,CLARIFIED_PLANE
YT-fLgKYFvuL9k,The New $50K/Month Claude Business Nobody's Building Yet (Full Blueprint),Luuk Alleman / Vision AI,https://www.youtube.com/@luukalleman,15:00,2026-06-02T22:45:21,Captured and clarified via Sovereign A3 workflow.,9,Finance,CLARIFIED_PLANE
YT-KEXTgvbqx6s,27 Years of No Bullsh*t Sales Advice in 16 Mins,Dan Martell,https://www.youtube.com/@danmartell,16:06,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CLARIFIED_PLANE
YT-IVgyYB1_lgc,44 Brutal Truths I Wish I Knew at 24,Dan Martell,https://www.youtube.com/@danmartell,32:57,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CLARIFIED_PLANE
YT-jffXuIy-iVs,6 Skills you MUST Have to Become Successful,Dan Martell,https://www.youtube.com/@danmartell,15:04,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CLARIFIED_PLANE
YT-YOf6QBiBubY,7 Skills You Need to Become Successful,Dan Martell,https://www.youtube.com/@danmartell,19:26,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CLARIFIED_PLANE
YT-zfNq9eIO4Q8,Every Level of Success: Which One Are You Stuck In?,Dan Martell,https://www.youtube.com/@danmartell,28:30,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-Tu4ZFSRg8Zo,How I Built a $100M Business that Never Loses Customers,Dan Martell,https://www.youtube.com/@danmartell,20:47,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-q4WRdE_28D0,How to ACTUALLY Build a $1M Business in 90 Days,Dan Martell,https://www.youtube.com/@danmartell,17:01,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-sneY4NEV9fs,How to Change Your Life in 30 Days,Dan Martell,https://www.youtube.com/@danmartell,15:36,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-2WEMhpDOnsw,How to Invest Your Money Like The 0.1%,Dan Martell,https://www.youtube.com/@danmartell,17:11,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-4WBt-ozzOaQ,How to Level Up SO Fast You Need to Reintroduce Yourself in 2026,Dan Martell,https://www.youtube.com/@danmartell,13:48,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-a4WZXjJ9WSc,How to Reinvent Yourself and Level Up Your Life in 2026,Dan Martell,https://www.youtube.com/@danmartell,17:09,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-OqVuu_JpBag,How to Stop Wasting Your Life (No More Distractions),Dan Martell,https://www.youtube.com/@danmartell,14:14,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-5XEtDw06vkw,I Asked ChatGPT to Make Me Money as FAST as Possible,Dan Martell,https://www.youtube.com/@danmartell,20:20,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-xXxrvra9DQg,I Ranked the Best AI Tools to Make Money in 2026,Dan Martell,https://www.youtube.com/@danmartell,19:15,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-LSKZrtFl47c,"I Tested 500+ AI Tools, These 12 Will Blow Up Your Business",Dan Martell,https://www.youtube.com/@danmartell,21:30,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-oMFJKZMl1Po,"If I Wanted to Go From $0 to $10M in 12 Months, I’d Do This",Dan Martell,https://www.youtube.com/@danmartell,26:45,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-Y9slL6yLLSg,"I’m 45. If I Was 20 Again, Here’s What I’d Do",Dan Martell,https://www.youtube.com/@danmartell,16:07,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-nby0dYLcz8I,"I’m 45. If You’re 18 to 30, Watch This…",Dan Martell,https://www.youtube.com/@danmartell,17:05,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-qYs3Hf99BPQ,POV: You’re Building a $1 Billion Company,Dan Martell,https://www.youtube.com/@danmartell,25:43,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-DhEMFeo_gL8,The Only 25 Ways to Make Money in 2026,Dan Martell,https://www.youtube.com/@danmartell,19:45,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-GTtDEm7Ak8c,The Only Skill You Need to Make Money in 2026,Dan Martell,https://www.youtube.com/@danmartell,20:35,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-QpfVvmXBHOU,The Only Skill You Need to Succeed in the AI Era,Dan Martell,https://www.youtube.com/@danmartell,16:57,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-D_YzcH0VsGY,The most powerful AI Agent I’ve ever used in my life,Dan Martell,https://www.youtube.com/@danmartell,11:55,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-r9eRlVVMsFY,The only 4 skills you need to build a $1B company…,Dan Martell,https://www.youtube.com/@danmartell,38:16,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
YT-ZP9ki_8-ZvE,Top 9 AI Trends I'm Betting My Bank Account On in 2026,Dan Martell,https://www.youtube.com/@danmartell,18:48,2026-06-03T01:30:00,Captured and clarified via Sovereign A3 Dan Martell Batch Ingestion workflow.,9,Sales,CAPTURED
