Issue Identifier,Title,Channel Name,Channel URL,Duration,Date Watched,Transcription Raw,Serendipity Score,Category,Symphony Status
YT-0MI8HEzJPkg,The ABSURD strategy of PMU,Yann Leonardi,https://www.youtube.com/@yannleonardi,19:45,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-j63wq_idljU,Cette MALADIE peut rapporter gros 💶🇫🇷,Yann Leonardi,https://www.youtube.com/@yannleonardi,27:17,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-tTBzI8fJBPM,The Coffee Shop Scam: INVESTIGATION,Yann Leonardi,https://www.youtube.com/@yannleonardi,16:21,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-5Wd7Wvgg_7o,HYROX is NOT a sport,Yann Leonardi,https://www.youtube.com/@yannleonardi,16:00,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-lLXT_RvQ-K8,What's the deal with FC Versailles?,Yann Leonardi,https://www.youtube.com/@yannleonardi,51:16,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-zlschBckLnA,Destroying your brand image to be reborn: the JAGUAR case,Yann Leonardi,https://www.youtube.com/@yannleonardi,21:43,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-LZsyJpKAu1M,Duolingo doesn't want you to learn languages,Yann Leonardi,https://www.youtube.com/@yannleonardi,31:31,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-YUUu2MLl5y8,Drawing inspiration from cartels to dominate the world: the Decathlon case,Yann Leonardi,https://www.youtube.com/@yannleonardi,22:23,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-SB-k06PgIRE,Pourquoi LinkedIn est si BIZARRE ?,Yann Leonardi,https://www.youtube.com/@yannleonardi,30:22,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-QswZX5hMtjo,Détruire son image de marque pour reconquérir le marché : le cas DOMINO'S,Yann Leonardi,https://www.youtube.com/@yannleonardi,22:39,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-D7aPzkIt4_Y,Stéphane Edouard : la stratégie controversée qui l'a rendu millionnaire !,Yann Leonardi,https://www.youtube.com/@yannleonardi,25:28,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-zLXg36Ua4fI,La face cachée d’Alexandre Astier  - Feat @ninaramen,Yann Leonardi,https://www.youtube.com/@yannleonardi,36:45,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-YpmqFpDUiaU,Comment Twitch est devenu incontournable ?? 🤫,Yann Leonardi,https://www.youtube.com/@yannleonardi,51:39,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-aZubNxpKpI0,Sa petite entreprise ne connait pas la crise - Feat Benoit de @Scalezia,Yann Leonardi,https://www.youtube.com/@yannleonardi,50:26,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-qPAnqa4NNfU,Le problème du Marketing ? Feat @WaldyNZembele,Yann Leonardi,https://www.youtube.com/@yannleonardi,27:44,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-yndFBFueI5Y,Khaby Lame: De chômeur à millionaire avec TikTok - Feat Théo Lion,Yann Leonardi,https://www.youtube.com/@yannleonardi,36:01,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-0i0x7EPcYUw,The Cult of Osama Ammar - Feat @ProduitInternet,Yann Leonardi,https://www.youtube.com/@yannleonardi,54:21,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-Oi29cqSDEoM,Comment DOCTOLIB est devenu incontournable ?,Yann Leonardi,https://www.youtube.com/@yannleonardi,25:55,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-4IOKonJx_ZQ,"ROLEX, La NOUVELLE Stratégie Marketing 🎯",Yann Leonardi,https://www.youtube.com/@yannleonardi,31:40,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-_WfoDHpsDHg,La Conférence De BOOBA à HARVARD Enfin Dévoilée,Yann Leonardi,https://www.youtube.com/@yannleonardi,36:18,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-ZfVhzYKgdMg,Comment LENA SITUATIONS a braqué le game ?? Feat @LeCoinDesYouTubeurs,Yann Leonardi,https://www.youtube.com/@yannleonardi,46:36,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-VMvqM11ECyU,ELLE a tout inventé... Analyse Marketing LE BON MARCHÉ,Yann Leonardi,https://www.youtube.com/@yannleonardi,27:22,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-VDc99IQhxXg,Pourquoi CLUBHOUSE vaut 1 MILLIARD $ ??? Analyse Growth Marketing,Yann Leonardi,https://www.youtube.com/@yannleonardi,29:07,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-P8FCPuZEpow,Comment RED BULL est devenu un empire : Analyse Marketing,Yann Leonardi,https://www.youtube.com/@yannleonardi,30:14,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-9N7A1arKCNc,Marketing de... JUL - L' artisan qui tua les maisons de disques,Yann Leonardi,https://www.youtube.com/@yannleonardi,32:37,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-jt_2FXSr7iI,"Marketing De YOMI DENZEL - Génération ""Fake it""",Yann Leonardi,https://www.youtube.com/@yannleonardi,31:29,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-sjYj3tVqZbM,UN CRÉATIF : juste un Marketeux de plus ??,Yann Leonardi,https://www.youtube.com/@yannleonardi,34:15,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-BhlN3oqty7M,Marketing de.. MLM & JP FANGUIN : décryptage d'un modèle et d'un buzz,Yann Leonardi,https://www.youtube.com/@yannleonardi,21:47,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-q06zU9TxpRo,Trump VS #blacklivesmatter - Marketing de Clivage,Yann Leonardi,https://www.youtube.com/@yannleonardi,16:37,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-S-MSI4jRklY,Crisis Marketing - How to adapt your marketing to the Coronavirus?,Yann Leonardi,https://www.youtube.com/@yannleonardi,13:48,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-2IHlwHqG2MI,"Marketing Analysis of the ""OK BOOMER"" Music Video - False Divide",Yann Leonardi,https://www.youtube.com/@yannleonardi,13:48,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-biv-dnqbm-8,"Marketing Du.. Gangsta Rap (N.W.A) - Analyse Marketing, Branding et Growth de NWA",Yann Leonardi,https://www.youtube.com/@yannleonardi,30:11,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-0gq7BVMs3Vg,Marketing De.. MEERO - Analysis of Meero's Marketing and Growth Strategy,Yann Leonardi,https://www.youtube.com/@yannleonardi,26:16,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-Da9IKTD671g,Marketing De.. WISH - Analyse Stratégie Marketing et Branding de Wish,Yann Leonardi,https://www.youtube.com/@yannleonardi,27:02,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-YDrFmJ2O13U,Marketing de.. SLACK - Analyse Stratégie Marketing et Branding de Slack,Yann Leonardi,https://www.youtube.com/@yannleonardi,35:08,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-5G6bHo4n3Zs,"Le Marketing de.. STRANGER THINGS - L'engagement avec le Marketing ""Nostalgie""",Yann Leonardi,https://www.youtube.com/@yannleonardi,18:36,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-UXZ5AuDdj0M,Marketing De.. STARBUCKS - Marketing and branding strategy analysis,Yann Leonardi,https://www.youtube.com/@yannleonardi,20:59,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-4QYvAhUglWw,Marketing De.. ASPHALTE - Analysis of the brand's marketing and communication strategy,Yann Leonardi,https://www.youtube.com/@yannleonardi,12:44,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-tuhSzxk9Rf0,NLP Marketing - Analysis of NLP's marketing and communication strategy,Yann Leonardi,https://www.youtube.com/@yannleonardi,19:42,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-mN07vXlqKVQ,Opt-in: The 4 mistakes to avoid when collecting emails,Yann Leonardi,https://www.youtube.com/@yannleonardi,08:26,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-Hp363It6Xt0,ONBOARDING - Exemple de Superhuman,Yann Leonardi,https://www.youtube.com/@yannleonardi,11:40,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-dBPWXaKaMPY,3 Reasons Why You Should Stop Using a Traditional Blog,Yann Leonardi,https://www.youtube.com/@yannleonardi,08:05,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-5knAIPSbL1M,"Marketing Automation,  comment l’utiliser pour son business ? L’exemple de Mautic",Yann Leonardi,https://www.youtube.com/@yannleonardi,08:26,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-2cLj0JtDYSM,"Vitamine, Pain Killer ou Candy ? Les 3 Types de Business qui changent votre Marketing",Yann Leonardi,https://www.youtube.com/@yannleonardi,09:45,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-5Gp8pgFMhUI,Méthode “Growth Hacking Process” - Comment la mettre en place ?,Yann Leonardi,https://www.youtube.com/@yannleonardi,08:38,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-4NMQZB3BnOE,Dropshipping from a 100% Marketing Perspective,Yann Leonardi,https://www.youtube.com/@yannleonardi,09:31,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-NoAce_czPPk,Les 5 erreurs facebook Ads à éviter,Yann Leonardi,https://www.youtube.com/@yannleonardi,11:00,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-7OeOQlZfFV8,"6 Types of Personalities ""PROCESS COM"" - Know Your Audience",Yann Leonardi,https://www.youtube.com/@yannleonardi,09:47,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-emetIlTePOs,Social Media Content Strategy - Le Slip Français,Yann Leonardi,https://www.youtube.com/@yannleonardi,11:34,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-5DJfDoJe62M,3 Conseils SEO Référencement Naturel avec résultats IMMEDIATS,Yann Leonardi,https://www.youtube.com/@yannleonardi,08:14,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-BqK0r8Lt40o,Semantic Cocoon - Boost your SEO through internal linking,Yann Leonardi,https://www.youtube.com/@yannleonardi,08:29,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-a7rNDJ7B2FQ,Les clients ou utilisateurs dont vous ne voulez pas...,Yann Leonardi,https://www.youtube.com/@yannleonardi,08:59,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-36eI7IwSnk0,What is Growth Hacking? 8 Truths About Growth Hackers,Yann Leonardi,https://www.youtube.com/@yannleonardi,10:58,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-apri8u410G4,"Why use the ""AARRR"" Framework for your Marketing actions? Instructions",Yann Leonardi,https://www.youtube.com/@yannleonardi,13:32,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-YO5OFAfWPVc,Inbound Marketing OU Content Marketing ? La Différence,Yann Leonardi,https://www.youtube.com/@yannleonardi,07:25,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-rFxsdx6kvr4,5 Marketing Tips for Instagram,Yann Leonardi,https://www.youtube.com/@yannleonardi,07:08,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-ajIgF-1__pc,SEO : Les bases pour se lancer dans le référencement naturel,Yann Leonardi,https://www.youtube.com/@yannleonardi,06:27,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
YT-MKjeZ5cjRS8,How do you know if you have a PRODUCT/MARKET FIT?,Yann Leonardi,https://www.youtube.com/@yannleonardi,06:22,2026-05-28,Transcription non disponible (RAG Yann Leonardi extraction).,8,Business,CAPTURED
